country,station_code,station_name,year,species,sex,determinand,matrix,basis,unit,value,qflag,limit_detection,limit_quantification,uncertainty,unit_uncertainty,sub.sample,AMAP_group,source,OSPAR_region,OSPAR_subregion,,latitude,longitude
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,M,HG,LI,W,mg/kg,10.14,,,,25,%,A20131,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,F,HG,LI,W,mg/kg,5.99,,,,25,%,A20132,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,F,HG,LI,W,mg/kg,10.65,,,,25,%,A20133,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,M,HG,LI,W,mg/kg,8.23,,,,25,%,A20134,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,M,HG,HA,D,mg/kg,4.04,,,,20,%,A20134,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,M,HG,LI,W,mg/kg,9.7,,,,25,%,A20135,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,M,HG,HA,D,mg/kg,7.27,,,,20,%,A20135,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,F,HG,LI,W,mg/kg,4.72,,,,25,%,A20136,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,F,HG,LI,W,mg/kg,89.08,,,,25,%,A20137,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,F,HG,HA,D,mg/kg,6.23,,,,20,%,A20137,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,M,HG,LI,W,mg/kg,7.69,,,,25,%,A20138,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,M,HG,HA,D,mg/kg,6.32,,,,20,%,A20138,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,M,HG,LI,W,mg/kg,79.25,,,,25,%,A20139,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,M,HG,LI,W,mg/kg,8.74,,,,25,%,A20140,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,M,HG,HA,D,mg/kg,3.51,,,,20,%,A20140,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,M,HG,LI,W,mg/kg,8.43,,,,25,%,A20141,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,M,HG,HA,D,mg/kg,4.52,,,,20,%,A20141,Juvenile,Riget,,,,,
