country,station_code,station_name,year,species,sex,determinand,matrix,basis,unit,value,qflag,limit_detection,limit_quantification,uncertainty,methodUncertainty,latitude,longitude,date,depth,noinp,filtered,AMAP_group,sampleID,replicate,pargroup,metpt,metoa,metcx,OSPAR_region,OSPAR_subregion
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,M,HG,HA,D,mg/kg,6.62,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,HG,HA,D,mg/kg,6.34,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,HG,HA,D,mg/kg,5.64,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,AGMEA,HA,D,y,19,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,M,HG,HA,D,mg/kg,3.54,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,M,HG,HA,D,mg/kg,2.73,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,HG,HA,D,mg/kg,1.65,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,AGMEA,HA,D,y,1,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,LI,W,mg/kg,7.43,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,AGMEA,HA,D,y,3,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,LI,W,mg/kg,3.46,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,AGMEA,HA,D,y,1,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,LI,W,mg/kg,9.45,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,AGMEA,HA,D,y,4,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,F,HG,LI,W,mg/kg,18.7,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,F,AGMEA,HA,D,y,7,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,F,HG,LI,W,mg/kg,4.88,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,F,AGMEA,HA,D,y,3,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,F,HG,LI,W,mg/kg,9.64,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,F,AGMEA,HA,D,y,4,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,LI,W,mg/kg,3.34,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,AGMEA,HA,D,y,7,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,LI,W,mg/kg,4.25,,,,25,%,,,,,,,,,,,,,,,
