country,station_code,station_name,year,species,sex,determinand,matrix,basis,value,unit,censoring,limit_detection,limit_quantification,uncertainty,unit_uncertainty,sample,subseries,source
Canada,A6,Western Hudson Bay,2015,Rangifer tarandus,M,HG,KI,D,5.66,ug/g,,,,,,A12757,,Gamberg
Canada,A6,Western Hudson Bay,2015,Rangifer tarandus,F,HG,KI,D,6.97,ug/g,,,,,,A12758,,Gamberg
Canada,A6,Western Hudson Bay,2015,Rangifer tarandus,F,HG,KI,D,7.68,ug/g,,,,,,A12759,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,M,HG,KI,D,2.51,ug/g,,,,,,A12760,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,M,HG,KI,D,2.61,ug/g,,,,,,A12761,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,M,HG,KI,D,2.66,ug/g,,,,,,A12762,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,M,HG,KI,D,2.67,ug/g,,,,,,A12763,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,M,HG,KI,D,2.77,ug/g,,,,,,A12764,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,2.89,ug/g,,,,,,A12765,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,3.09,ug/g,,,,,,A12766,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,3.15,ug/g,,,,,,A12767,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,M,HG,KI,D,3.34,ug/g,,,,,,A12768,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,3.36,ug/g,,,,,,A12769,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,M,HG,KI,D,3.58,ug/g,,,,,,A12770,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,M,HG,KI,D,4.04,ug/g,,,,,,A12771,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,4.15,ug/g,,,,,,A12772,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,4.3,ug/g,,,,,,A12773,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,4.39,ug/g,,,,,,A12774,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,4.48,ug/g,,,,,,A12775,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,4.79,ug/g,,,,,,A12776,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,4.8,ug/g,,,,,,A12777,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,5.94,ug/g,,,,,,A12778,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,M,HG,KI,D,5.95,ug/g,,,,,,A12779,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,5.98,ug/g,,,,,,A12780,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,I,HG,KI,D,5.98,ug/g,,,,,,A12781,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,5.98,ug/g,,,,,,A12782,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,M,HG,KI,D,6.45,ug/g,,,,,,A12783,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,6.49,ug/g,,,,,,A12784,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,6.91,ug/g,,,,,,A12785,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,6.94,ug/g,,,,,,A12786,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,7.02,ug/g,,,,,,A12787,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,7.93,ug/g,,,,,,A12788,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,8.45,ug/g,,,,,,A12789,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,8.48,ug/g,,,,,,A12790,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,8.52,ug/g,,,,,,A12791,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,9.14,ug/g,,,,,,A12792,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,9.54,ug/g,,,,,,A12793,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,10.36,ug/g,,,,,,A12794,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,12.08,ug/g,,,,,,A12795,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,12.35,ug/g,,,,,,A12796,,Gamberg
Canada,A6,Western Hudson Bay,2016,Rangifer tarandus,F,HG,KI,D,12.59,ug/g,,,,,,A12797,,Gamberg
Canada,A6,Western Hudson Bay,2017,Rangifer tarandus,I,HG,KI,D,1.71,ug/g,,,,,,A12798,,Gamberg
Canada,A6,Western Hudson Bay,2017,Rangifer tarandus,M,HG,KI,D,2.43,ug/g,,,,,,A12799,,Gamberg
Canada,A6,Western Hudson Bay,2017,Rangifer tarandus,I,HG,KI,D,2.45,ug/g,,,,,,A12800,,Gamberg
Canada,A6,Western Hudson Bay,2017,Rangifer tarandus,M,HG,KI,D,2.81,ug/g,,,,,,A12801,,Gamberg
Canada,A6,Western Hudson Bay,2017,Rangifer tarandus,I,HG,KI,D,2.82,ug/g,,,,,,A12802,,Gamberg
