country;station_code;station_name;year;species;sex;determinand;matrix;basis;unit;value;qflag;limit_detection;limit_quantification;uncertainty;methodUncertainty;sub.sample;AMAP_group;idno
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;AGMEA;HA;D;y;3;;;;25;%;;juvenile;1389
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;OCDAN;BB;L;ng/g;1226;;;;25;%;;juvenile;1389
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;TNONC;BB;L;ng/g;292.17;;;;25;%;;juvenile;1389
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;N15D;MU;D;ppt;18.2;;;;25;%;;juvenile;1389
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;C13D;MU;D;ppt;-20.5;;;;25;%;;juvenile;1389
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;F;SCB7;BB;L;ng/g;18671.14;;;;25;%;;juvenile;1390
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;F;DDTPP;BB;L;ng/g;242.24;;;;25;%;;juvenile;1390
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;F;HCH;BB;L;ng/g;583;;;;25;%;;juvenile;1390
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;F;HCB;BB;L;ng/g;135;;;;25;%;;juvenile;1390
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;F;OCB;BB;L;ng/g;41;;;;25;%;;juvenile;1390
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;F;DIEL;BB;L;ng/g;374.76;;;;25;%;;juvenile;1390
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;F;HCEPX;BB;L;ng/g;410;;;;25;%;;juvenile;1390
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;F;MIREX;BB;L;ng/g;15.38;;;;25;%;;juvenile;1390
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;F;AGMEA;HA;D;y;2;;;;25;%;;juvenile;1390
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;F;OCDAN;BB;L;ng/g;2966;;;;25;%;;juvenile;1390
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;F;TNONC;BB;L;ng/g;278.64;;;;25;%;;juvenile;1390
