country,station_code,station_name,year,species,sex,determinand,matrix,basis,value,unit,qflag,limit_detection,limit_quantification,uncertainty,unit_uncertainty,sample,series_subroup,source
Greenland,A90,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,AGMEA,WO,,5,y,,,,,,A20055,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1992,Ursus maritimus,M,HG,LI,W,35.87,mg/kg,,,,25,%,A20056,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1992,Ursus maritimus,M,AGMEA,WO,,4,y,,,,,,A20056,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1992,Ursus maritimus,M,HG,LI,W,20.2,mg/kg,,,,25,%,A20057,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1992,Ursus maritimus,M,AGMEA,WO,,4,y,,,,,,A20057,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1992,Ursus maritimus,M,N15D,MU,D,16.7,ppt,,,,,,A20057,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1992,Ursus maritimus,M,C13D,MU,D,-20.8,ppt,,,,,,A20057,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1992,Ursus maritimus,F,HG,LI,W,64.82,mg/kg,,,,25,%,A20058,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1992,Ursus maritimus,F,AGMEA,WO,,26,y,,,,,,A20058,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1992,Ursus maritimus,F,N15D,MU,D,14.2,ppt,,,,,,A20058,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1992,Ursus maritimus,F,C13D,MU,D,-21.9,ppt,,,,,,A20058,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1992,Ursus maritimus,F,HG,LI,W,22.06,mg/kg,,,,25,%,A20059,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1992,Ursus maritimus,F,AGMEA,WO,,5,y,,,,,,A20059,adult_female,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1992,Ursus maritimus,F,HG,LI,W,9.26,mg/kg,,,,25,%,A20060,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1992,Ursus maritimus,F,AGMEA,WO,,1,y,,,,,,A20060,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1992,Ursus maritimus,F,N15D,MU,D,16.85,ppt,,,,,,A20060,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1992,Ursus maritimus,F,C13D,MU,D,-20,ppt,,,,,,A20060,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1992,Ursus maritimus,M,HG,LI,W,18.91,mg/kg,,,,25,%,A20061,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1992,Ursus maritimus,M,AGMEA,WO,,2,y,,,,,,A20061,juvenile,Riget
